Nominal Petroleum Prices Transportation Ethanol Wholesale Price Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_NA_TRN_NA_EWP_NA_USA_NDLRPGLN.A
20:07:46 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_NA_TRN_NA_EWP_NA_USA_NDLRPGLN.A nom $/gal
2050,4.399598
2049,4.099046
2048,3.90181
2047,3.766623
2046,3.598347
2045,3.457394
2044,3.388344
2043,3.244399
2042,3.132243
2041,3.000996
2040,2.925048
2039,2.848855
2038,2.750091
2037,2.680537
2036,2.610627
2035,2.548192
2034,2.484509
2033,2.443873
2032,2.385711
2031,2.326138
2030,2.267427
2029,2.099639
2028,2.007348
2027,1.889565
2026,1.791534
2025,1.732984
2024,1.63866
2023,1.609753
2022,1.58606
2021,1.472489
2020,1.378475
2019,1.382022
